;yearmonth;code;hour;precipitation;pressure;max_preasure;min_preasure;radiation;temperature;dew_point;max_temperature;min_temperature;max_dew_point;min_dew_point;max_humidity;min_humidity;humidity;wind_direction;wind_gust;wind_speed;year;month
31;200012;AM;1150;0.1180995475113122;1002.718594104308;1008.3;998.1;1500.8174273858922;27.44467120181404;23.10045351473921;33.8;20.2;25.7;18.3;81.5909090909091;74.96363636363637;78.35374149659864;-4011.201612903226;3.3134259259259267;1.0986332574031892;2000;12
32;200012;BA;1150;0.122207267833109;;1011.3;1000.3;1514.2587064676618;25.948721399730804;21.80834454912517;31.8;21.4;25.3;18.2;80.63660834454913;76.48048452220726;78.57604306864064;69.77822580645162;5.710363391655449;1.9987886944818305;2000;12
33;200012;DF;1150;0.2446601941747573;885.7825242718447;889.4;877.8;1627.021551724138;22.15776699029125;17.20898058252427;30.5;17.2;20.1;7.2;78.89950980392157;71.87745098039215;75.5121359223301;-4374.102150537635;5.214778325123154;2.447317073170731;2000;12
34;200012;RJ;1150;0.1689822294022618;1006.9032310177704;1014.7;995.5;1614.9085872576177;26.215831987075937;20.87011308562197;36.7;18.5;25.9;14.6;77.28525121555916;71.32739059967585;74.44426494345718;-1521.77688172043;5.524227642276428;2.465751211631664;2000;12
35;200012;RS;1150;0.0989247311827957;1005.135215053763;1015.3;994.8;1519.357142857143;23.574999999999974;17.474865591397837;35.7;13.2;23.9;4.5;73.95564516129032;67.48521505376344;70.83602150537635;154.06720430107526;4.897849462365588;1.826612903225808;2000;12
36;200101;AM;1150;0.2185792349726775;1004.0986338797816;1009.5;999.8;1210.5405405405406;25.944262295082;22.68360655737704;32.1;22.5;25.1;19.8;85.75561797752809;79.58707865168539;82.98087431693989;-5036.620967741936;3.483045977011493;1.2246575342465764;2001;1
37;200101;BA;1150;0.1327956989247312;1008.1969086021512;1011.4;1003.8;1796.149877149877;26.275403225806414;21.63844086021508;31.1;22.2;24.8;18.3;78.29704301075269;73.78225806451613;76.125;101.55645161290325;5.444758064516131;1.8547043010752653;2001;1
38;200101;DF;1150;0.1745916515426498;886.7916058394168;890.7;881.5;1731.201923076923;22.42867513611615;15.977313974591649;29.7;15.5;20.3;9.0;72.32965009208102;65.24309392265194;68.98003629764065;-2495.6008064516127;5.4451197053407006;2.6172413793103444;2001;1
39;200101;RJ;1150;0.2165775401069518;1009.1192513368982;1017.4;1001.6;1773.0;28.070509383378013;21.44155495978553;37.9;21.7;24.7;11.9;72.81720430107526;66.86756756756756;69.80160857908847;-5214.780913978495;5.146974063400577;2.2842406876790817;2001;1
40;200101;RS;1150;0.2704318936877076;1006.4574750830576;1014.8;999.0;1407.745308310992;25.29435215946846;19.77574750830563;35.6;16.8;24.1;6.5;75.97004991680532;70.33943427620632;73.24916943521595;-1774.467741935484;4.838768718802001;1.7656146179402;2001;1
41;200102;AM;1150;0.6805194805194806;1003.3331168831168;1006.7;999.2;1383.2906976744189;26.00324675324674;22.78896103896104;32.0;21.9;25.0;20.4;85.85714285714286;79.9090909090909;83.11688311688312;-7682.016369047619;4.043506493506492;1.5246753246753255;2001;2
42;200102;BA;1150;0.0452380952380952;1006.4023809523824;1011.0;1002.0;1832.1813186813188;27.19627976190481;22.16845238095236;32.4;22.4;25.7;19.2;76.85416666666667;72.26041666666667;74.57738095238095;103.0639880952381;5.525297619047619;1.9311011904761892;2001;2
43;200102;DF;1150;0.1467862481315396;886.1176382660694;890.4;881.1;1740.2326869806095;22.420627802690564;15.526756352765316;31.0;16.1;19.7;5.6;72.062874251497;63.74850299401198;67.94469357249626;103.41369047619048;4.63073463268366;2.0229041916167647;2001;2
44;200102;RJ;1150;0.1193877551020408;1008.1397959183688;1014.0;1001.3;1696.6472303206997;27.884863945578225;21.78792517006803;37.1;21.5;27.4;14.8;75.03236797274276;68.23168654173764;71.64965986394557;-1073.46875;5.062010221465076;2.2142857142857126;2001;2
45;200102;RS;1150;0.1413690476190476;1006.5586309523828;1014.0;997.5;1374.7116883116882;25.691071428571423;20.977976190476205;34.7;20.0;24.9;15.8;78.80654761904762;73.77083333333333;76.42410714285714;146.7485119047619;5.099851190476189;1.9165178571428565;2001;2
46;200103;AM;1150;0.2999999999999999;1003.9734858681026;1009.0;998.3;1335.9410256410256;26.204301075268813;22.771505376344088;33.8;21.5;25.5;19.0;84.95411605937922;79.93387314439946;82.5013440860215;83.30913978494624;3.5318918918918887;1.2737903225806453;2001;3
47;200103;BA;1150;0.3630853994490357;1007.1544704264088;1011.7;1002.1;1514.840506329114;26.642916093535117;22.532324621733142;31.8;22.3;25.6;19.8;80.78194444444445;76.44722222222222;78.69463548830811;-130.72043010752688;4.904583333333337;1.6193103448275856;2001;3
48;200103;DF;1150;0.2704301075268813;886.8661290322576;892.2;881.7;1343.6225;21.098252688172074;16.825268817204304;29.8;16.0;20.3;11.6;81.58602150537635;74.81854838709677;78.23655913978494;146.2016129032258;4.584543010752687;2.0856182795698905;2001;3
49;200103;RJ;1150;0.1580645161290323;1009.3416666666644;1014.5;1001.2;1664.7886597938143;26.835618279569893;21.03306451612905;37.5;19.8;24.4;10.5;76.00807537012113;69.81830417227457;72.90322580645162;212.49059139784947;5.02651413189771;2.216935483870968;2001;3
50;200103;RS;1150;0.1667117726657645;1007.5456021650888;1014.2;999.2;1298.66;24.98024357239512;20.246414073071755;34.8;16.1;24.0;12.0;78.96739130434783;73.86413043478261;76.42219215155616;98.95698924731182;4.442798913043481;1.6239512855209737;2001;3
51;200104;AM;1150;0.2480555555555554;1004.3998611111102;1009.2;999.0;1335.9309392265193;25.939305555555585;23.14069444444444;32.3;21.9;25.8;20.5;87.65833333333333;82.66805555555555;85.20277777777778;149.44305555555556;3.2411111111111093;1.134305555555555;2001;4
52;200104;BA;1150;0.1525;1008.2230555555548;1012.1;1004.7;1473.3580562659847;26.41805555555555;21.84138888888886;31.0;22.4;25.0;18.2;78.94305555555556;73.61666666666666;76.29027777777777;122.84583333333332;5.208194444444441;1.7773611111111127;2001;4
53;200104;DF;1150;0.1985935302390999;887.7643661971829;892.2;883.9;1671.7855153203343;21.761603375527432;14.90379746835441;29.8;15.0;19.8;6.4;70.51709401709402;63.81054131054131;67.02672292545711;-15.806944444444444;4.794871794871792;2.3274647887323927;2001;4
54;200104;RJ;1150;0.055267175572519;1011.9158778625952;1017.9;1004.2;1531.5866261398176;25.75679389312979;20.55435114503816;35.7;18.1;24.7;13.9;78.29051987767583;72.3776758409786;75.34656488549618;-740.7208333333333;4.148776758409789;1.8726717557251904;2001;4
55;200104;RS;1150;0.3833101529902642;1010.3552924791088;1020.1;998.6;915.6260162601626;21.03560500695408;17.44408901251738;30.9;11.7;22.5;8.2;83.35883171070932;78.88734353268428;81.15020862308762;148.32222222222222;4.218776077885952;1.4552155771905415;2001;4
56;200105;AM;1150;0.2693548387096774;1004.3576819407008;1008.4;999.7;1378.2906666666668;26.595295698924737;23.56478494623659;33.1;22.2;26.2;21.2;86.92204301075269;81.54704301075269;84.20967741935483;163.3561827956989;2.9401076716016137;0.9858870967741936;2001;5
57;200105;BA;1150;0.2795698924731182;1008.0958221024256;1011.8;1003.8;1170.92118226601;25.82862903225809;22.25873655913976;31.0;21.8;25.1;17.6;83.26954177897574;78.75876010781671;81.06720430107526;98.38575268817203;5.030323450134767;1.732479784366575;2001;5
58;200105;DF;1150;0.0478494623655914;887.7797843665763;891.7;883.8;1416.255376344086;20.782930107526877;13.869623655913978;28.8;13.2;18.7;5.4;69.63844086021506;63.68682795698925;66.65053763440861;161.11155913978496;4.309946236559138;2.038172043010749;2001;5
59;200105;GO;1150;0.003076923076923;933.2192307692304;936.8;930.1;1624.309523809524;21.773076923076925;16.230769230769234;30.7;15.5;19.6;11.3;68.35714285714286;60.74285714285714;74.78461538461538;-5816.45;3.511594202898551;1.3757575757575753;2001;5
60;200105;RJ;1150;0.0956521739130435;1012.0412098298676;1018.9;1003.2;1023.0817843866172;22.459735349716443;17.64461247637051;35.0;14.4;23.0;11.0;79.0909090909091;73.55871212121212;76.33837429111531;-2752.6276881720432;4.6318181818181845;2.142911153119093;2001;5
61;200105;RS;1150;0.1043227665706051;1010.8939306358382;1018.9;1000.2;711.0127388535032;16.6648414985591;13.578674351585011;27.7;10.6;21.5;5.1;84.80635838150289;80.73699421965318;82.86455331412104;-5261.840053763441;4.6612716763005775;1.6386167146974064;2001;5
62;200106;AM;1150;0.2374251497005987;1006.535382308846;1012.7;1000.9;1149.2326283987916;25.075149700598782;22.21586826347304;31.9;19.9;25.2;17.5;87.22054380664653;82.2129909365559;84.83532934131736;-557.8833333333333;3.1166163141993954;1.0578710644677671;2001;6
63;200106;BA;1150;0.2973352033660589;1011.346121297603;1015.5;1008.1;1089.875;24.479382889200565;20.458485273492307;28.7;20.9;24.8;14.1;81.17531556802244;76.11079943899018;78.70266479663394;34.46388888888889;6.166339410939686;2.190883590462834;2001;6
64;200106;DF;1150;0.0;889.908579465542;894.0;886.5;1500.1648044692738;19.497338935574238;11.18569424964936;27.4;11.0;16.4;-4.0;63.61711079943899;58.12903225806452;60.840112201963535;15.131944444444445;4.962464985994398;2.541795231416548;2001;6
65;200106;GO;1150;0.0014015416958654;934.3337771548704;940.3;928.7;1389.6943661971832;19.4627890679748;12.751086194814285;30.5;5.4;17.9;4.1;72.78416257883671;65.74842326559215;69.29992992291521;59.44513888888889;3.4910301331464586;1.5510161177295003;2001;6
66;200106;RJ;1150;;;;;;;;;;;;;;;-9999.0;;;2001;6
67;200106;RS;1150;0.1916666666666668;1014.150455373406;1023.4;1001.0;715.0279069767441;15.617028985507243;12.00543478260869;28.1;2.9;18.5;0.9;81.98920086393089;77.58531317494601;80.42572463768116;-3436.758333333333;4.334557235421166;1.6513611615245016;2001;6
68;200107;AM;1150;0.0254295532646048;1006.2144329896914;1009.9;1001.8;1472.4275862068966;25.761168384879728;22.04639175257731;37.8;20.9;25.6;19.3;84.23103448275862;78.03103448275863;81.12371134020619;-6017.967741935484;3.0082758620689654;1.0573883161512023;2001;7
69;200107;BA;1150;0.2989247311827956;1012.0650067294764;1016.5;1008.1;1234.0753246753247;23.920564516129048;19.99569892473118;27.9;20.4;23.7;15.8;81.48586810228802;76.7092866756393;79.09274193548387;137.45698924731184;6.062853297442801;2.2541666666666624;2001;7
70;200107;DF;1150;0.0183041722745625;889.6510148849796;894.8;885.7;1512.0161725067385;19.946433378196488;9.315746971736203;29.5;11.6;16.6;0.4;55.74293405114401;49.97981157469717;52.81695827725437;104.25403225806453;5.032436069986546;2.5423956931359344;2001;7
71;200107;GO;1150;0.0;934.1161849710988;940.5;929.0;1414.2016666666666;20.12502064409576;10.849793559042102;33.6;8.2;17.1;-0.9;63.96425602660017;56.880299251870326;60.328654004954586;-1743.524865591398;3.7522859517871936;1.6216350123864551;2001;7
72;200107;RJ;1150;0.0637083993660856;1015.6398400000006;1023.9;1004.1;992.7687861271676;21.46275752773377;15.326782884310616;35.9;11.1;21.2;5.0;75.15451895043732;70.50728862973762;72.05071315372425;-5300.807795698925;5.0997084548105;2.3313787638668755;2001;7
73;200107;RS;1150;0.3229287090558766;1013.8624758220504;1026.7;996.7;793.4767932489451;14.390944123314062;10.429672447013496;30.4;2.6;18.2;-0.9;80.76413255360623;75.75828460038986;78.47013487475915;-2910.581989247312;4.420077972709554;1.53140655105973;2001;7
