state;month_x;number;id;code;precipitation;pressure;max_preasure;min_preasure;radiation;temperature;dew_point;max_temperature;min_temperature;max_dew_point;min_dew_point;max_humidity;min_humidity;humidity;wind_direction;wind_gust;wind_speed;year;month_y
Alagoas;Outubro;7.0;AL201410;AL;0.2460752688172051;999.837930107529;1017.7;979.1;1499.0341593780372;24.246801075268817;20.540564516129;33.1;18.8;26.5;13.6;83.51344086021506;78.63763440860215;81.17284946236559;-1564.603270609319;6.053362022592786;2.698413978494622;2014;10
Alagoas;Outubro;40.0;AL201510;AL;0.0342293906810035;1001.8645161290336;1017.6;978.0;1677.140772708591;26.342293906810013;18.73368515607456;38.1;18.6;29.2;-9.9;70.10849585294777;65.44416647714351;67.8719222950079;112.3508064516129;6.013239247311851;2.67296146953404;2015;10
Alagoas;Outubro;74.0;AL201610;AL;0.0242408906882591;999.1743927125495;1018.0;973.5;1687.1971153846148;26.135526315789416;18.80265688259108;40.6;19.0;25.9;-4.1;69.9967105263158;64.84026369168357;67.4067324727917;-2677.997983870968;6.684994939271252;3.038537449392708;2016;10
Alagoas;Outubro;14.0;AL201710;AL;0.0433162300837158;1000.3445578886526;1017.6;976.8;1540.479573783677;24.9080523983818;18.94433399602389;36.8;17.9;26.1;-4.8;75.29773269689737;69.96201272871917;72.6648111332008;84.16935483870968;5.652205740705057;2.321171257946449;2017;10
Alagoas;Novembro;17.0;AL200311;AL;0.1061111111111111;1002.8629166666664;1006.0;997.7;21036.669064748203;25.764999999999983;20.822083333333342;33.5;21.1;23.9;14.4;78.05416666666666;72.70277777777778;75.43472222222222;95.35972222222222;5.823611111111101;2.9965277777777786;2003;11
Alagoas;Novembro;28.0;AL200411;AL;0.0290184921763869;1003.1800853485069;1007.0;998.8;583.679104477612;27.36031294452347;21.849786628734005;38.7;19.2;31.1;17.0;76.1280227596017;70.66287339971551;73.4551920341394;-148.86388888888888;6.337553342816502;3.3007112375533403;2004;11
Alagoas;Novembro;25.0;AL200511;AL;0.0194444444444444;1002.7788888888888;1008.4;997.2;21482.367901234567;25.9909722222222;20.37541666666668;31.9;20.5;22.9;14.9;74.8375;69.80694444444444;72.46111111111111;73.60694444444445;6.764583333333334;3.5855555555555547;2005;11
Alagoas;Novembro;12.0;AL200611;AL;0.0806675938803894;1002.385674547985;1006.1;996.5;1752.8240694789092;25.71933240611959;22.317941585535483;34.7;20.0;24.7;17.6;85.31564245810056;80.40502793296089;82.85535465924896;60.4875;6.618994413407818;3.468706536856741;2006;11
Alagoas;Novembro;15.0;AL200711;AL;0.0017446471054718;994.4321966693116;1014.0;974.7;1910.7502915451907;27.296907216494848;18.19888977002377;39.2;18.5;21.9;7.0;64.10547184773989;58.28707375099128;61.25297383029342;-4103.690277777778;7.632751784298182;3.69690721649485;2007;11
Alagoas;Novembro;37.0;AL200811;AL;0.0071775874044917;998.7047696225972;1015.7;975.5;1555.006788793104;26.4337809678166;19.60940032414914;38.7;18.9;24.1;10.5;71.88840009261403;66.35332252836305;69.17341977309563;100.00925925925924;7.023107200740896;3.328733503125724;2008;11
